mask,bbdc3,bbdc4
2023 01 03 12 27 00.000,12.77,14.29
2023 01 03 12 28 00.000,12.79,14.29
2023 01 03 12 29 00.000,12.79,14.3
2023 01 03 12 30 00.000,12.8,14.29
2023 01 03 12 31 00.000,12.79,14.28
2023 01 03 12 32 00.000,12.79,14.29
2023 01 03 12 33 00.000,12.8,14.28
2023 01 03 12 34 00.000,12.8,14.29
2023 01 03 12 35 00.000,12.8,14.3
2023 01 03 12 36 00.000,12.8,14.3
2023 01 03 12 37 00.000,12.8,14.3
2023 01 03 12 38 00.000,12.82,14.3
2023 01 03 12 39 00.000,12.82,14.3
2023 01 03 12 40 00.000,12.82,14.33
2023 01 03 12 41 00.000,12.85,14.34
2023 01 03 12 42 00.000,12.85,14.34
2023 01 03 12 43 00.000,12.85,14.35
2023 01 03 12 44 00.000,12.86,14.34
2023 01 03 12 45 00.000,12.86,14.33
2023 01 03 12 46 00.000,12.83,14.32
2023 01 03 12 47 00.000,12.83,14.32
2023 01 03 12 48 00.000,12.83,14.31
2023 01 03 12 49 00.000,12.83,14.34
2023 01 03 12 50 00.000,12.83,14.34
2023 01 03 12 51 00.000,12.83,14.34
2023 01 03 12 52 00.000,12.83,14.34
2023 01 03 12 53 00.000,12.88,14.35
2023 01 03 12 54 00.000,12.87,14.33
2023 01 03 12 55 00.000,12.86,14.33
2023 01 03 12 56 00.000,12.86,14.35
2023 01 03 12 57 00.000,12.86,14.35
2023 01 03 12 58 00.000,12.88,14.35
2023 01 03 12 59 00.000,12.88,14.35
2023 01 03 13 00 00.000,12.88,14.35
2023 01 03 13 01 00.000,12.9,14.35
2023 01 03 13 02 00.000,12.88,14.33
2023 01 03 13 03 00.000,12.88,14.36
2023 01 03 13 04 00.000,12.9,14.35
2023 01 03 13 05 00.000,12.9,14.35
2023 01 03 13 06 00.000,12.88,14.31
2023 01 03 13 07 00.000,12.87,14.32
2023 01 03 13 08 00.000,12.87,14.29
2023 01 03 13 09 00.000,12.84,14.29
2023 01 03 13 10 00.000,12.85,14.32
2023 01 03 13 11 00.000,12.85,14.31
2023 01 03 13 12 00.000,12.85,14.32
2023 01 03 13 13 00.000,12.85,14.31
2023 01 03 13 14 00.000,12.87,14.32
2023 01 03 13 15 00.000,12.84,14.31
2023 01 03 13 16 00.000,12.84,14.31
2023 01 03 13 17 00.000,12.84,14.3
2023 01 03 13 18 00.000,12.84,14.29
2023 01 03 13 19 00.000,12.84,14.3
2023 01 03 13 20 00.000,12.84,14.3
2023 01 03 13 21 00.000,12.84,14.3
2023 01 03 13 22 00.000,12.83,14.31
2023 01 03 13 23 00.000,12.83,14.31
2023 01 03 13 24 00.000,12.83,14.32
2023 01 03 13 25 00.000,12.83,14.32
2023 01 03 13 26 00.000,12.83,14.32
2023 01 03 13 27 00.000,12.84,14.32
2023 01 03 13 28 00.000,12.84,14.3
2023 01 03 13 29 00.000,12.83,14.31
2023 01 03 13 30 00.000,12.83,14.31
2023 01 03 13 31 00.000,12.83,14.3
2023 01 03 13 32 00.000,12.82,14.32
2023 01 03 13 33 00.000,12.82,14.31
2023 01 03 13 34 00.000,12.82,14.3
2023 01 03 13 35 00.000,12.79,14.26
2023 01 03 13 36 00.000,12.79,14.29
2023 01 03 13 37 00.000,12.79,14.29
2023 01 03 13 38 00.000,12.82,14.31
2023 01 03 13 39 00.000,12.82,14.31
2023 01 03 13 40 00.000,12.82,14.31
2023 01 03 13 41 00.000,12.81,14.29
2023 01 03 13 42 00.000,12.81,14.28
2023 01 03 13 43 00.000,12.81,14.27
2023 01 03 13 44 00.000,12.83,14.29
2023 01 03 13 45 00.000,12.82,14.27
2023 01 03 13 46 00.000,12.8,14.27
2023 01 03 13 47 00.000,12.8,14.27
2023 01 03 13 48 00.000,12.81,14.27
2023 01 03 13 49 00.000,12.81,14.27
2023 01 03 13 50 00.000,12.81,14.27
2023 01 03 13 51 00.000,12.81,14.27
2023 01 03 13 52 00.000,12.81,14.27
2023 01 03 13 53 00.000,12.81,14.27
2023 01 03 13 54 00.000,12.81,14.26
2023 01 03 13 55 00.000,12.81,14.26
2023 01 03 13 56 00.000,12.81,14.23
2023 01 03 13 57 00.000,12.79,14.22
2023 01 03 13 58 00.000,12.78,14.21
2023 01 03 13 59 00.000,12.78,14.22
2023 01 03 14 00 00.000,12.78,14.22
2023 01 03 14 01 00.000,12.78,14.2
2023 01 03 14 02 00.000,12.78,14.21
2023 01 03 14 03 00.000,12.78,14.23
